iata_code,location
UTK,"Utirik Airport, Utirik Island, Marshall Islands"
OCA,"Ocean Reef Club Airport, Key Largo, United States"
PQS,"Pilot Station Airport, Pilot Station, United States"
CSE,"Crested Butte Airpark, Crested Butte, United States"
JCY,"LBJ Ranch Airport, Johnson City, United States"
PMX,"Metropolitan Airport, Palmer, United States"
WLR,"Loring Seaplane Base, Loring, United States"
NUP,"Nunapitchuk Airport, Nunapitchuk, United States"
PTC,"Port Alice Seaplane Base, Port Alice, United States"
ICY,"Icy Bay Airport, Icy Bay, United States"
PPV,"Port Protection Seaplane Base, Port Protection, United States"
KKK,"Kalakaket Creek AS Airport, Kalakaket Creek, United States"
MHS,"Dunsmuir Muni-Mott Airport, Dunsmuir, United States"
GCT,"Grand Canyon Bar Ten Airstrip, Whitmore, United States"
ELW,"Ellamar Seaplane Base, Ellamar, United States"
LVD,"Lime Village Airport, Lime Village, United States"
HGZ,"Hog River Airport, Hogatza, United States"
OTN,"Ed-Air Airport, Oaktown, United States"
TLF,"Telida Airport, Telida, United States"
BZT,"Eagle Air Park, Brazoria, United States"
HBH,"Entrance Island Seaplane Base, Entrance Island, United States"
FAK,"False Island Seaplane Base, False Island, United States"
BYW,"Blakely Island Airport, Blakely Island, United States"
DRF,"Drift River Airport, Kenai, United States"
BDF,"Rinkenberger Restricted Landing Area, Bradford, United States"
VRS,"Roy Otten Memorial Airfield, Versailles, United States"
GDH,"Golden Horn Lodge Seaplane Base, Golden Horn Lodge, United States"
ATT,"Atmautluak Airport, Atmautluak, United States"
LIV,"Livengood Camp Airport, Livengood, United States"
PDB,"Pedro Bay Airport, Pedro Bay, United States"
KOZ,"Ouzinkie Airport, Ouzinkie, United States"
TNK,"Tununak Airport, Tununak, United States"
WHD,"Hyder Seaplane Base, Hyder, United States"
TKI,"Tokeen Seaplane Base, Tokeen, United States"
WKK,"Aleknagik / New Airport, Aleknagik, United States"
WFB,"Ketchikan Harbor Seaplane Base, Ketchikan, United States"
NNK,"Naknek Airport, Naknek, United States"
BKF,"Lake Brooks Seaplane Base, Katmai National Park, United States"
BCS,"Southern Seaplane Airport, Belle Chasse, United States"
SPQ,"Catalina Air-Sea Terminal Heliport, San Pedro, United States"
TSS,"East 34th Street Heliport, New York, United States"
QNY,"New York Skyports Inc Seaplane Base, New York, United States"
BWL,"Earl Henry Airport, Blackwell, United States"
WYB,"Yes Bay Lodge Seaplane Base, Yes Bay, United States"
CWS,"Center Island Airport, Center Island, United States"
TEK,"Tatitlek Airport, Tatitlek, United States"
DUF,"Pine Island Airport, Corolla, United States"
SSW,"Stuart Island Airpark, Stuart Island, United States"
FOB,"Fort Bragg Airport, Fort Bragg, United States"
PUL,"Port of Poulsbo Marina Moorage Seaplane Base, Poulsbo, United States"
CCD,"Century City Heliport, Los Angeles, United States"
WMK,"Meyers Chuck Seaplane Base, Meyers Chuck, United States"
AXB,"Maxson Airfield, Alexandria Bay, United States"
REE,"Reese Airpark, Lubbock, United States"
WDN,"Waldronaire Airport, East Sound, United States"
WWP,"Whale Pass Seaplane Float Harbor Facility, Whale Pass, United States"
CHU,"Chuathbaluk Airport, Chuathbaluk, United States"
UGS,"Ugashik Airport, Ugashik, United States"
MXG,"Marlboro Airport, Marlboro, United States"
PSQ,"Philadelphia Seaplane Base, Essington, United States"
KLL,"Levelock Airport, Levelock, United States"
SGW,"Saginaw Seaplane Base, Saginaw Bay, United States"
WTL,"Tuntutuliak Airport, Tuntutuliak, United States"
TWA,"Twin Hills Airport, Twin Hills, United States"
KCQ,"Chignik Lake Airport, Chignik Lake, United States"
AAD,"Adado Airport, Adado, Somalia"
ABP,"Atkamba Airport, Atkamba Mission, Papua New Guinea"
ALV,"Andorra la Vella Heliport, Andorra La Vella, Andorra"
ADC,"Andakombe Airport, Andekombe, Papua New Guinea"
ADV,"El Daein Airport, El Daein, Sudan"
DJH,"Jebel Ali Seaplane Base, Jebel Ali, United Arab Emirates"
AEE,"Adareil Airport, South Sudan"
AEI,"Algeciras Heliport, Algeciras, Spain"
AEK,"Aseki Airport, Aseki, Papua New Guinea"
AEQ,"Ar Horqin Airport, Chifeng, China"
URZ,"Orūzgān Airport, Orūzgān, Afghanistan"
OLR,"Salerno Landing Zone Airport, Afghanistan"
AFK,"Kondavattavana Tank Seaplane Base, Ampara, Sri Lanka"
AFR,"Afore Airstrip, Papua New Guinea"
AFT,"Afutara Aerodrome, Bila, Solomon Islands"
RNA,"Ulawa Airport, Arona, Solomon Islands"
ATD,"Uru Harbour Airport, Atoifi, Solomon Islands"
VEV,"Barakoma Airport, Barakoma, Solomon Islands"
GEF,"Geva Airport, Liangia, Solomon Islands"
AGG,"Angoram Airport, Angoram, Papua New Guinea"
AKS,"Gwaunaru'u Airport, Auki, Solomon Islands"
BNY,"Bellona/Anua Airport, Anua, Solomon Islands"
CHY,"Choiseul Bay Airport, Solomon Islands"
BAS,"Ballalae Airport, Ballalae, Solomon Islands"
FRE,"Fera/Maringe Airport, Fera Island, Solomon Islands"
HIR,"Honiara International Airport, Honiara, Solomon Islands"
MBU,"Babanakira Airport, Mbambanakira, Solomon Islands"
AVU,"Avu Avu Airport, Solomon Islands"
IRA,"Ngorangora Airport, Kirakira, Solomon Islands"
SCZ,"Santa Cruz/Graciosa Bay/Luova Airport, Santa Cruz/Graciosa Bay/Luova, Solomon Islands"
MUA,"Munda Airport, Solomon Islands"
GZO,"Nusatupe Airport, Gizo, Solomon Islands"
MNY,"Mono Airport, Stirling Island, Solomon Islands"
PRS,"Parasi Airport, Parasi, Solomon Islands"
RNL,"Rennell/Tingoa Airport, Rennell Island, Solomon Islands"
EGM,"Sege Airport, Sege, Solomon Islands"
NNB,"Santa Ana Airport, Santa Ana Island, Solomon Islands"
RUS,"Marau Airport, Marau, Solomon Islands"
VAO,"Suavanao Airport, Suavanao, Solomon Islands"
XYA,"Yandina Airport, Yandina, Solomon Islands"
AGK,"Kagua Airport, Kagua, Papua New Guinea"
KGE,"Kaghau Airport, Kagau Island, Solomon Islands"
KUE,"Kukudu Airport, Kolombangara Island, Solomon Islands"
KWS,"Kwailabesi Airport, Kwailabesi, Solomon Islands"
AGL,"Wanigela Airport, Papua New Guinea"
NAZ,"Nana Airport, Star Harbor, Solomon Islands"
RIN,"Ringi Cove Airport, Ringi Cove, Solomon Islands"
RBV,"Ramata Airport, Ramata, Solomon Islands"
TLG,"Tulaghi Heliport, Tulaghi Island, Solomon Islands"
AGY,"Argyle Downs Airport, Argyle Downs, Australia"
AHJ,"Hongyuan Airport, Aba, China"
AHY,"Ambatolhy Airport, Ambatolahy, Madagascar"
AIE,"Aiome Airport, Aiome, Papua New Guinea"
AIH,"Aiambak Airport, Aiambak, Papua New Guinea"
AIC,"Ailinglaplap Airok Airport, Bigatyelang Island, Marshall Islands"
CEX,"Chena Hot Springs Airport, Chena Hot Springs, United States"
SOL,"Solomon State Field, Solomon, United States"
HED,"Herendeen Bay Airport, Herendeen Bay, United States"
TWE,"Taylor Airport, Taylor, United States"
KTH,"Tikchik Lodge Seaplane Base, Tikchik, United States"
NKI,"Naukati Bay Seaplane Base, Tuxekan Island, United States"
LNI,"Lonely Air Station, Lonely, United States"
CDL,"Candle 2 Airport, Candle, United States"
AOS,"Amook Bay Seaplane Base, Amook Bay, United States"
BSZ,"Bartletts Airport, Egegik, United States"
BSW,"Boswell Bay Airport, Boswell Bay, United States"
AKM,"Zakuoma Airport, ZaKouma, Chad"
TGE,"Sharpe Field, Tuskegee, United States"
ALZ,"Alitak Seaplane Base, Lazy Bay, United States"
PPE,"Mar de Cortés International Airport, Puerto Peñasco, Mexico"
AME,"Alto Molocue Airport, Alto Molocue, Mozambique"
AMF,"Ama Airport, Papua New Guinea"
AMU,"Amanab Airport, Amanab, Papua New Guinea"
AMY,"Ambatomainty Airport, Madagascar"
INU,"Nauru International Airport, Yaren District, Nauru"
ANZ,"Angus Downs Airport, Angus Downs Station, Australia"
ANL,"Andulo Airport, Angola"
CNZ,"Cangamba Airport, Cangamba, Angola"
DRC,"Dirico Airport, Dirico, Angola"
GGC,"Lumbala Airport, Lumbala, Angola"
JMB,"Jamba Airport, Jamba, Angola"
KNP,"Capanda Airport, Capanda, Angola"
NDF,"Ndalatandos Airport, Ndalatandos, Angola"
AOB,"Annanberg Airport, Papua New Guinea"
AOD,"Abou-Deïa Airport, Abou-Deïa, Chad"
APP,"Asapa Airport, Papua New Guinea"
APR,"April River Airport, April River, Papua New Guinea"
AQY,"Girdwood Airport, Girdwood, United States"
QRF,"Bragado Airport, Bragado, Argentina"
CVI,"Caleta Olivia Airport, Caleta Olivia, Argentina"
CNT,"Charata Airport, Charata, Argentina"
VGS,"General Villegas Airport, General Villegas, Argentina"
LMD,"Los Menucos Airport, Los Menucos, Argentina"
VCF,"Valcheta Airport, Valcheta, Argentina"
NCJ,"Sunchales Aeroclub Airport, Sunchales, Argentina"
CPG,"Carmen De Patagones Airport, Carmen de Patagones, Argentina"
PRQ,"Termal Airport, Presidencia Roque Sáenz Peña, Argentina"
OLN,"Colonia Sarmiento Airport, Sarmiento, Argentina"
ARP,"Aragip Airport, Papua New Guinea"
TAV,"Tau Airport, Tau Village, American Samoa"
ASZ,"Asirim Airport, Papua New Guinea"
ATN,"Namatanai Airport, Namatanai, Papua New Guinea"
ATP,"Aitape Airport, Aitape, Papua New Guinea"
LYT,"Lady Elliot Island Airstrip, Lady Elliot Island, Australia"
AGW,"Agnew Airport, Agnew, Australia"
AYD,"Alroy Downs Airport, Alroy Downs, Australia"
BYX,"Baniyala Airport, Baniyala, Australia"
COB,"Coolibah Airport, Coolibah, Australia"
CRJ,"Coorabie Airport, Coorabie, Australia"
CRY,"Carlton Hill Airport, Carlton Hill, Australia"
CSD,"Cresswell Downs Airport, Cresswell Downs, Australia"
DYM,"Diamantina Lakes Airport, Diamantina Lakes, Australia"
HIS,"Hayman Island Resort Seaplane Base, Hayman Island, Australia"
HLV,"Helenvale Airport, Helenvale, Australia"
KBD,"Kimberley Downs Airport, Kimberley Downs, Australia"
